n,k,r,h,source_sink_from_different_branches,astar_connected,astar_path_length,astar_time,bidirectional_bfs_connected,bidirectional_bfs_path_length,bidirectional_bfs_time
6,4,3,1,True,False,-1,0.047453,False,-1,0.033349
6,4,3,1,True,False,-1,0.046725,False,-1,0.033575
6,4,3,1,True,False,-1,0.047281,False,-1,0.034103
6,4,3,1,True,False,-1,0.048023,False,-1,0.0336
6,4,3,1,True,False,-1,0.047666,False,-1,0.033894
6,4,3,1,True,False,-1,0.047422,False,-1,0.03353
6,4,3,1,True,False,-1,0.05806,False,-1,0.033605
6,4,3,1,True,False,-1,0.047401,False,-1,0.034741
6,4,3,1,True,False,-1,0.049074,False,-1,0.034402
6,4,3,1,True,False,-1,0.046689,False,-1,0.034266
4,4,3,1,True,False,-1,0.001418,False,-1,0.001024
4,4,3,1,True,False,-1,0.001453,False,-1,0.001059
4,4,3,1,True,False,-1,0.001423,False,-1,0.00103
4,4,3,1,True,False,-1,0.001433,False,-1,0.00105
4,4,3,1,True,False,-1,0.001471,False,-1,0.001061
4,4,3,1,True,False,-1,0.001472,False,-1,0.001024
4,4,3,1,True,False,-1,0.001401,False,-1,0.001015
4,4,3,1,True,False,-1,0.001424,False,-1,0.001017
4,4,3,1,True,False,-1,0.001411,False,-1,0.00103
4,4,3,1,True,False,-1,0.001456,False,-1,0.001027
5,4,3,1,True,False,-1,0.008755,False,-1,0.006143
5,4,3,1,True,False,-1,0.008759,False,-1,0.006252
5,4,3,1,True,False,-1,0.00876,False,-1,0.006272
5,4,3,1,True,False,-1,0.009168,False,-1,0.006369
5,4,3,1,True,False,-1,0.008717,False,-1,0.006455
5,4,3,1,True,False,-1,0.008646,False,-1,0.006248
5,4,3,1,True,False,-1,0.008792,False,-1,0.006353
5,4,3,1,True,False,-1,0.008634,False,-1,0.006348
5,4,3,1,True,False,-1,0.008589,False,-1,0.006219
5,4,3,1,True,False,-1,0.008587,False,-1,0.006278
5,4,3,0,True,False,-1,0.008959,False,-1,0.006372
5,4,3,0,True,False,-1,0.008994,False,-1,0.006489
5,4,3,0,True,False,-1,0.009228,False,-1,0.006448
5,4,3,0,True,False,-1,0.009126,False,-1,0.006567
5,4,3,0,True,False,-1,0.00896,False,-1,0.006492
5,4,3,0,True,False,-1,0.008946,False,-1,0.006426
5,4,3,0,True,False,-1,0.008886,False,-1,0.006356
5,4,3,0,True,False,-1,0.00898,False,-1,0.006508
5,4,3,0,True,False,-1,0.008987,False,-1,0.006609
5,4,3,0,True,False,-1,0.00924,False,-1,0.006499
4,4,3,0,True,False,-1,0.00157,False,-1,0.00112
4,4,3,0,True,False,-1,0.001567,False,-1,0.001155
4,4,3,0,True,False,-1,0.001557,False,-1,0.001124
4,4,3,0,True,False,-1,0.001611,False,-1,0.001158
4,4,3,0,True,False,-1,0.001577,False,-1,0.001131
4,4,3,0,True,False,-1,0.001572,False,-1,0.001122
4,4,3,0,True,False,-1,0.001572,False,-1,0.001141
4,4,3,0,True,False,-1,0.001535,False,-1,0.001118
4,4,3,0,True,False,-1,0.001578,False,-1,0.001121
4,4,3,0,True,False,-1,0.001641,False,-1,0.001115
6,4,3,0,True,False,-1,0.046892,False,-1,0.034216
6,4,3,0,True,False,-1,0.048712,False,-1,0.034048
6,4,3,0,True,False,-1,0.046904,False,-1,0.034095
6,4,3,0,True,False,-1,0.058888,False,-1,0.034441
6,4,3,0,True,False,-1,0.048571,False,-1,0.033609
6,4,3,0,True,False,-1,0.047454,False,-1,0.03369
6,4,3,0,True,False,-1,0.048422,False,-1,0.044422
6,4,3,0,True,False,-1,0.048601,False,-1,0.034075
6,4,3,0,True,False,-1,0.047982,False,-1,0.034314
6,4,3,0,True,False,-1,0.046183,False,-1,0.03435
4,4,4,1,True,False,-1,0.001288,False,-1,0.000921
4,4,4,1,True,False,-1,0.001295,False,-1,0.000939
4,4,4,1,True,False,-1,0.001267,False,-1,0.000944
4,4,4,1,True,False,-1,0.001277,False,-1,0.000928
4,4,4,1,True,False,-1,0.001267,False,-1,0.000915
4,4,4,1,True,False,-1,0.001293,False,-1,0.000889
4,4,4,1,True,False,-1,0.001255,False,-1,0.000937
4,4,4,1,True,False,-1,0.001271,False,-1,0.000904
4,4,4,1,True,False,-1,0.001199,False,-1,0.000885
4,4,4,1,True,False,-1,0.001254,False,-1,0.000926
5,4,4,1,True,False,-1,0.00845,False,-1,0.006191
5,4,4,1,True,False,-1,0.010552,False,-1,0.006108
5,4,4,1,True,False,-1,0.00841,False,-1,0.006067
5,4,4,1,True,False,-1,0.008354,False,-1,0.006072
5,4,4,1,True,False,-1,0.008609,False,-1,0.006058
5,4,4,1,True,False,-1,0.008209,False,-1,0.006035
5,4,4,1,True,False,-1,0.008356,False,-1,0.006031
5,4,4,1,True,False,-1,0.008461,False,-1,0.006091
5,4,4,1,True,False,-1,0.008432,False,-1,0.006154
5,4,4,1,True,False,-1,0.0084,False,-1,0.006083
6,4,4,1,True,False,-1,0.05646,False,-1,0.033329
6,4,4,1,True,False,-1,0.046661,False,-1,0.033309
6,4,4,1,True,False,-1,0.04787,False,-1,0.033558
6,4,4,1,True,False,-1,0.046201,False,-1,0.033311
6,4,4,1,True,False,-1,0.046006,False,-1,0.03318
6,4,4,1,True,False,-1,0.048231,False,-1,0.033918
6,4,4,1,True,False,-1,0.045886,False,-1,0.033272
6,4,4,1,True,False,-1,0.059116,False,-1,0.033247
6,4,4,1,True,False,-1,0.047516,False,-1,0.033708
6,4,4,1,True,False,-1,0.047532,False,-1,0.033013
6,4,2,0,True,False,-1,0.047615,False,-1,0.033439
6,4,2,0,True,False,-1,0.048382,False,-1,0.03434
6,4,2,0,True,False,-1,0.04849,False,-1,0.034533
6,4,2,0,True,False,-1,0.048643,False,-1,0.034678
6,4,2,0,True,False,-1,0.048612,False,-1,0.034051
6,4,2,0,True,False,-1,0.047456,False,-1,0.033555
6,4,2,0,True,False,-1,0.049013,False,-1,0.034173
6,4,2,0,True,False,-1,0.04915,False,-1,0.035393
6,4,2,0,True,False,-1,0.047051,False,-1,0.03405
6,4,2,0,True,False,-1,0.048412,False,-1,0.034051
4,4,2,0,True,False,-1,0.001673,False,-1,0.001212
4,4,2,0,True,False,-1,0.001667,False,-1,0.00121
4,4,2,0,True,False,-1,0.001633,False,-1,0.001226
4,4,2,0,True,False,-1,0.001647,False,-1,0.001223
4,4,2,0,True,False,-1,0.00163,False,-1,0.00121
4,4,2,0,True,False,-1,0.001693,False,-1,0.001224
4,4,2,0,True,False,-1,0.001768,False,-1,0.001201
4,4,2,0,True,False,-1,0.001664,False,-1,0.001207
4,4,2,0,True,False,-1,0.001633,False,-1,0.001209
4,4,2,0,True,False,-1,0.001701,False,-1,0.001195
5,4,2,0,True,False,-1,0.009363,False,-1,0.006536
5,4,2,0,True,False,-1,0.009494,False,-1,0.006565
5,4,2,0,True,False,-1,0.009632,False,-1,0.006691
5,4,2,0,True,False,-1,0.009166,False,-1,0.006793
5,4,2,0,True,False,-1,0.009381,False,-1,0.006727
5,4,2,0,True,False,-1,0.009122,False,-1,0.006626
5,4,2,0,True,False,-1,0.009159,False,-1,0.006559
5,4,2,0,True,False,-1,0.009222,False,-1,0.006661
5,4,2,0,True,False,-1,0.009325,False,-1,0.006598
5,4,2,0,True,False,-1,0.009014,False,-1,0.006649
6,4,4,0,True,False,-1,0.048671,False,-1,0.033433
6,4,4,0,True,False,-1,0.04824,False,-1,0.033898
6,4,4,0,True,False,-1,0.046767,False,-1,0.033716
6,4,4,0,True,False,-1,0.047628,False,-1,0.03385
6,4,4,0,True,False,-1,0.048151,False,-1,0.033714
6,4,4,0,True,False,-1,0.047775,False,-1,0.033817
6,4,4,0,True,False,-1,0.048221,False,-1,0.033525
6,4,4,0,True,False,-1,0.046694,False,-1,0.033692
6,4,4,0,True,False,-1,0.048554,False,-1,0.033229
6,4,4,0,True,False,-1,0.04728,False,-1,0.0337
5,4,4,0,True,False,-1,0.008918,False,-1,0.006255
5,4,4,0,True,False,-1,0.0087,False,-1,0.006322
5,4,4,0,True,False,-1,0.008846,False,-1,0.006299
5,4,4,0,True,False,-1,0.008768,False,-1,0.006391
5,4,4,0,True,False,-1,0.008922,False,-1,0.006253
5,4,4,0,True,False,-1,0.008663,False,-1,0.006315
5,4,4,0,True,False,-1,0.008785,False,-1,0.006386
5,4,4,0,True,False,-1,0.008804,False,-1,0.006385
5,4,4,0,True,False,-1,0.008761,False,-1,0.006298
5,4,4,0,True,False,-1,0.008829,False,-1,0.006349
4,4,4,0,True,False,-1,0.001494,False,-1,0.001046
4,4,4,0,True,False,-1,0.001462,False,-1,0.001059
4,4,4,0,True,False,-1,0.001447,False,-1,0.001044
4,4,4,0,True,False,-1,0.001512,False,-1,0.001051
4,4,4,0,True,False,-1,0.001486,False,-1,0.001053
4,4,4,0,True,False,-1,0.001509,False,-1,0.001065
4,4,4,0,True,False,-1,0.00148,False,-1,0.001066
4,4,4,0,True,False,-1,0.001507,False,-1,0.001035
4,4,4,0,True,False,-1,0.001446,False,-1,0.001041
4,4,4,0,True,False,-1,0.001462,False,-1,0.001073
5,4,2,1,True,False,-1,0.009125,False,-1,0.006488
5,4,2,1,True,False,-1,0.009772,False,-1,0.00672
5,4,2,1,True,False,-1,0.009547,False,-1,0.006521
5,4,2,1,True,False,-1,0.009061,False,-1,0.006434
5,4,2,1,True,False,-1,0.008956,False,-1,0.006523
5,4,2,1,True,False,-1,0.009028,False,-1,0.006482
5,4,2,1,True,False,-1,0.009013,False,-1,0.006688
5,4,2,1,True,False,-1,0.009166,False,-1,0.006513
5,4,2,1,True,False,-1,0.008836,False,-1,0.006482
5,4,2,1,True,False,-1,0.008938,False,-1,0.006552
4,4,2,1,True,False,-1,0.001611,False,-1,0.00118
4,4,2,1,True,False,-1,0.001641,False,-1,0.001142
4,4,2,1,True,False,-1,0.001624,False,-1,0.001186
4,4,2,1,True,False,-1,0.001666,False,-1,0.001178
4,4,2,1,True,False,-1,0.001595,False,-1,0.001143
4,4,2,1,True,False,-1,0.001595,False,-1,0.001172
4,4,2,1,True,False,-1,0.001637,False,-1,0.00116
4,4,2,1,True,False,-1,0.001601,False,-1,0.001166
4,4,2,1,True,False,-1,0.001566,False,-1,0.001137
4,4,2,1,True,False,-1,0.001632,False,-1,0.001153
6,4,2,1,True,False,-1,0.047039,False,-1,0.033821
6,4,2,1,True,False,-1,0.047444,False,-1,0.034922
6,4,2,1,True,False,-1,0.048396,False,-1,0.033893
6,4,2,1,True,False,-1,0.047304,False,-1,0.033714
6,4,2,1,True,False,-1,0.046924,False,-1,0.035153
6,4,2,1,True,False,-1,0.047181,False,-1,0.034656
6,4,2,1,True,False,-1,0.057944,False,-1,0.034106
6,4,2,1,True,False,-1,0.047257,False,-1,0.033973
6,4,2,1,True,False,-1,0.047314,False,-1,0.035384
6,4,2,1,True,False,-1,0.047477,False,-1,0.044268
